p,a,fx,mean_total_J
1e-2,1e-10,1e-9,339.76885315849404
1e-2,1e-2,1e-9,301.4594255337795
1e-2,1e-3,1e-9,326.6701963549915
1e-2,1e-4,1e-9,321.70435212759793
1e-2,1e-5,1e-9,313.08225169913663
1e-2,1e-6,1e-9,329.2572837158481
1e-2,1e-7,1e-9,359.61882348857836
1e-2,1e-8,1e-9,308.2473324072907
1e-2,1e-9,1e-9,305.5025672251995
1e-3,1e-1,1e-9,357.6572269585329
1e-3,1e-10,1e-9,329.7158024144795
1e-3,1e-2,1e-9,306.613816808109
1e-3,1e-3,1e-9,349.659991546353
1e-3,1e-4,1e-9,334.19978642195485
1e-3,1e-5,1e-9,352.7727367790628
1e-3,1e-6,1e-9,342.0214783602246
1e-3,1e-7,1e-9,343.61112376929856
1e-3,1e-8,1e-9,346.4641431572122
1e-3,1e-9,1e-9,325.4358082597013
1e-4,1e-1,1e-9,366.0458538711794
1e-4,1e-10,1e-9,321.434135872448
1e-4,1e-2,1e-9,340.17190575760526
1e-4,1e-3,1e-9,333.6402879772175
1e-4,1e-4,1e-9,329.2181187498095
1e-4,1e-5,1e-9,344.4255526605259
1e-4,1e-6,1e-9,350.49073996915195
1e-4,1e-7,1e-9,356.7092285026039
1e-4,1e-8,1e-9,370.58140515250955
1e-4,1e-9,1e-9,323.12653573235895
1e-5,1e-1,1e-9,350.88279421136883
1e-5,1e-10,1e-9,357.5347790426368
1e-5,1e-2,1e-9,337.08902997782207
1e-5,1e-3,1e-9,335.96344316776845
1e-5,1e-4,1e-9,331.4994420545049
1e-5,1e-5,1e-9,333.33239171816945
1e-5,1e-6,1e-9,343.34770720499114
1e-5,1e-7,1e-9,340.4883458112712
1e-5,1e-8,1e-9,350.6366594032373
1e-5,1e-9,1e-9,348.3155851253813
1e-6,1e-1,1e-9,401.84205189586453
1e-6,1e-10,1e-9,338.7344177631649
1e-6,1e-2,1e-9,331.19792793127255
1e-6,1e-3,1e-9,343.0581645103018
1e-6,1e-4,1e-9,341.1605967423013
1e-6,1e-5,1e-9,349.0243488796293
1e-6,1e-6,1e-9,298.38986716967867
1e-6,1e-7,1e-9,332.6541934233211
1e-6,1e-8,1e-9,421.66047026109686
1e-6,1e-9,1e-9,316.1627913869579
1e-7,1e-1,1e-9,386.47981954670735
1e-7,1e-10,1e-9,326.7513541252746
1e-7,1e-2,1e-9,359.52862363740934
1e-7,1e-3,1e-9,336.5515081052809
1e-7,1e-4,1e-9,317.74810856935653
1e-7,1e-5,1e-9,322.8489017142258
1e-7,1e-6,1e-9,340.1689906640519
1e-7,1e-7,1e-9,330.01545986289955
1e-7,1e-8,1e-9,348.8348630762314
1e-7,1e-9,1e-9,337.179566004817
1e-8,1e-1,1e-9,365.15403243588037
1e-8,1e-10,1e-9,321.9344814066807
1e-8,1e-2,1e-9,334.3067970947305
1e-8,1e-3,1e-9,365.39075536155076
1e-8,1e-4,1e-9,335.0225451826984
1e-8,1e-5,1e-9,354.7807313328944
1e-8,1e-6,1e-9,344.4918299546986
1e-8,1e-7,1e-9,389.24134606059465
1e-8,1e-8,1e-9,367.42452679765313
1e-8,1e-9,1e-9,322.8466593143775
1e-9,1e-1,1e-9,307.78586258599273
1e-9,1e-10,1e-9,326.4197969806815
1e-9,1e-2,1e-9,356.722147892407
1e-9,1e-3,1e-9,365.9617882116298
1e-9,1e-4,1e-9,352.00955648150165
1e-9,1e-5,1e-9,319.37488103371993
1e-9,1e-6,1e-9,377.3935935514013
1e-9,1e-7,1e-9,363.48493288354103
1e-9,1e-8,1e-9,321.3950471309885
1e-9,1e-9,1e-9,340.7734822735283
